Date,Close
12/19/2013,79.95
12/20/2013,80.04
12/23/2013,80.56
12/24/2013,80.64
12/26/2013,81.55
12/27/2013,81.64
12/30/2013,81.94
12/31/2013,82.34
1/2/2014,82.02
1/3/2014,81.89
1/6/2014,81.1
1/7/2014,81.5
1/8/2014,81.93
1/9/2014,81.57
1/10/2014,82.01
1/13/2014,80.97
1/14/2014,81.01
1/15/2014,81.07
1/16/2014,81.26
1/17/2014,81
1/21/2014,80.46
1/22/2014,80.2
1/23/2014,80.24
1/24/2014,79.16
1/27/2014,78.94
1/28/2014,78.54
1/29/2014,76.68
1/30/2014,76.93
1/31/2014,76.85
2/3/2014,75.09
2/4/2014,74.97
2/5/2014,75.26
2/6/2014,76.16
2/7/2014,76.45
2/10/2014,76.41
2/11/2014,76.7
2/12/2014,77.28
2/13/2014,77.59
2/14/2014,77.93
2/18/2014,77.57
2/19/2014,76.45
2/20/2014,77.48
2/21/2014,77.74
2/24/2014,77.87
2/25/2014,80.98
2/26/2014,81.7
2/27/2014,81.97
2/28/2014,82.03
3/3/2014,82
3/4/2014,82.87
3/5/2014,82.91
3/6/2014,82.41
3/7/2014,82.55
3/10/2014,82.18
3/11/2014,81.29
3/12/2014,80.56
3/13/2014,78.8
3/14/2014,79.38
3/17/2014,79.58
3/18/2014,79.82
3/19/2014,79.75
3/20/2014,80.09
3/21/2014,80.42
3/24/2014,79.66
3/25/2014,79.47
3/26/2014,78.87
3/27/2014,78.68
3/28/2014,78.72
3/31/2014,79.13
4/1/2014,79.38
4/2/2014,79.95
4/3/2014,79.4
4/4/2014,78.72
4/7/2014,77.13
4/8/2014,77.11
4/9/2014,77.76
4/10/2014,76.78
4/11/2014,75.7
4/14/2014,75.97
4/15/2014,75.89
4/16/2014,76.58
4/17/2014,77.09
4/21/2014,77.96
4/22/2014,79.67
4/23/2014,78.52
4/24/2014,79.77
4/25/2014,79.38
4/28/2014,80.17
4/29/2014,79.52
4/30/2014,79.51
5/1/2014,79.33
5/2/2014,79.4
5/5/2014,78.69
5/6/2014,77.42
5/7/2014,77.08
5/8/2014,77.05
5/9/2014,77.71
5/12/2014,78.27
5/13/2014,77.27
5/14/2014,76.31
5/15/2014,76.24
5/16/2014,77.36
5/19/2014,76.5
5/20/2014,77.96
5/21/2014,78.08
5/22/2014,78.78
5/23/2014,79.18
5/27/2014,79.69
5/28/2014,79.68
5/29/2014,79.9
5/30/2014,80.23
6/2/2014,80.84
6/3/2014,80.67
6/4/2014,80.54
6/5/2014,80.38
6/6/2014,80.64
6/9/2014,80.61
6/10/2014,80.74
6/11/2014,79.81
6/12/2014,78.43
6/13/2014,78.07
6/16/2014,78.9
6/17/2014,80.02
6/18/2014,80.71
6/19/2014,80.44
6/20/2014,80.17
6/23/2014,80.64
6/24/2014,80.43
6/25/2014,80.53
6/26/2014,80.75
6/27/2014,81.13
6/30/2014,80.96
7/1/2014,81.82
7/2/2014,81.98
7/3/2014,82.05
7/7/2014,81.42
7/8/2014,80.76
7/9/2014,80.73
7/10/2014,79.4
7/11/2014,79.61
7/14/2014,79.46
7/15/2014,79.86
7/16/2014,79.66
7/17/2014,79.55
7/18/2014,80.08
7/21/2014,79.71
7/22/2014,80.54
7/23/2014,81.02
7/24/2014,81.2
7/25/2014,81.03
7/28/2014,81.07
7/29/2014,80.98
7/30/2014,81.76
7/31/2014,80.85
8/1/2014,79.75
8/4/2014,80.03
8/5/2014,80.03
8/6/2014,80.52
8/7/2014,80.47
8/8/2014,82.43
8/11/2014,82.88
8/12/2014,82.92
8/13/2014,83.12
8/14/2014,83.86
8/15/2014,83.69
8/18/2014,83.59
8/19/2014,88.23
8/20/2014,90.75
8/21/2014,91.15
8/22/2014,91.03
8/25/2014,91.2
8/26/2014,91.63
8/27/2014,91.87
8/28/2014,92.51
8/29/2014,93.5
9/2/2014,91.15
9/3/2014,89
9/4/2014,89.93
9/5/2014,91.61
9/8/2014,90.82
9/9/2014,88.93
9/10/2014,89.25
9/11/2014,89.22
9/12/2014,88.84
9/15/2014,89.38
9/16/2014,90.27
9/17/2014,91.22
9/18/2014,92.09
9/19/2014,92.34
9/22/2014,91.89
9/23/2014,91.49
9/24/2014,93.02
9/25/2014,91.9
9/26/2014,92.84
9/29/2014,92.88
9/30/2014,91.74
10/1/2014,91.02
10/2/2014,92.24
10/3/2014,93.54
10/6/2014,93.26
10/7/2014,92.47
10/8/2014,94.09
10/9/2014,93.07
10/10/2014,92.55
10/13/2014,90.6
10/14/2014,90.1
10/15/2014,87.85
10/16/2014,88.88
10/17/2014,90.24
10/20/2014,91.85
10/21/2014,94.2
10/22/2014,93.34
10/23/2014,94.8
10/24/2014,94.99
10/27/2014,95.47
10/28/2014,96.59
10/29/2014,96.42
10/30/2014,97.52
10/31/2014,97.52
11/3/2014,96.09
11/4/2014,95.96
11/5/2014,95.78
11/6/2014,97.29
11/7/2014,97.65
11/10/2014,98.16
11/11/2014,98.14
11/12/2014,98.49
11/13/2014,99
11/14/2014,98.24
11/17/2014,98.03
11/18/2014,95.98
11/19/2014,96.7
11/20/2014,97.57
11/21/2014,98.28
11/24/2014,98.4
11/25/2014,97.01
11/26/2014,97.7
